txn_id,txn_datetime,store_id,member_id,channel,payment_method,total_amount,discount_amount,campaign_id,is_return
T000001,2025-01-01T21:37:00,S01,,store,cash,2260,0,,false
T000002,2025-01-01T15:24:00,S01,,store,cash,1610,0,,false
T000003,2025-01-01T17:16:00,S05,,store,line_pay,2110,0,,false
T000004,2025-01-01T21:47:00,S99,,online,mobile_payment,1490,0,,false
T000005,2025-01-02T21:52:00,S01,,store,credit_card,855,0,,false
T000006,2025-01-02T19:05:00,S04,,store,mobile_payment,2180,0,,false
T000007,2025/01/02 15:39,S05,M000637,store,cash,840,0,,false
T000008,2025-01-02T20:14:00,S05,,store,credit_card,2493,157,,false
T000009,2025-01-02T20:06:00,S06,M001093,store,mobile_payment,930,0,,false
T000010,2025-01-02T21:46:00,S06,,store,cash,1380,0,,false
T000011,2025-01-03T18:00:00,S01,,store,cash,1485,0,,false
T000012,2025-01-03T11:14:00,S03,,store,credit_card,1160,0,,false
T000013,2025-01-03T19:53:00,S04,M000558,store,cash,990,0,,false
T000014,2025-01-03T21:32:00,S05,,store,credit_card,2385,0,,false
T000015,2025-01-03T19:04:00,S06,M000130,store,cash,90,0,,false
T000016,2025-01-03T20:02:00,S99,M000280,online,cash,800,0,,false
T000017,2025-01-04T11:48:00,S01,,store,credit_card,2290,0,,false
T000018,2025-01-04T12:51:00,S04,,store,credit_card,3690,0,,false
T000019,2025-01-04T17:33:00,S04,,store,credit_card,2124,66,,false
T000020,2025-01-04T15:56:00,S04,,store,credit_card,1740,0,,false
T000021,2025-01-04T14:44:00,S04,,store,line_pay,1734,116,,false
T000022,2025-01-04T15:46:00,S05,,store,cash,1062,28,,false
T000023,2025-01-04T15:09:00,S06,,store,cash,1385,0,,false
T000024,2025/01/05 14:22,S01,M000241,store,mobile_payment,345,0,,false
T000025,2025-01-05T15:54:00,S01,M000151,store,credit_card,300,0,,false
T000026,2025-01-05T16:47:00,S02,,store,cash,2450,0,,false
T000027,2025-01-05T17:11:00,S02,,store,credit_card,1800,0,,false
T000028,2025-01-05T14:46:00,S02,,store,credit_card,2650,0,,false
T000029,2025-01-05T20:56:00,S04,,store,cash,2125,0,,false
T000030,2025-01-05T11:19:00,S04,,store,mobile_payment,1840,0,,false
T000031,2025-01-05T12:30:00,S04,,store,cash,2173,77,,false
T000032,2025-01-05T17:19:00,S04,,store,cash,2195,60,,false
T000033,2025-01-05T16:48:00,S05,,store,mobile_payment,2410,0,,false
T000034,2025-01-05T19:06:00,S06,M000423,store,line_pay,1120,0,,false
T000035,2025-01-06T15:01:00,S02,M000921,store,mobile_payment,110,0,,false
T000036,2025-01-06T15:21:00,S02,M000362,store,cash,1500,0,,false
T000037,2025-01-06T17:07:00,S03,M000849,store,line_pay,70,0,,false
T000038,2025-01-06T11:27:00,S04,,store,credit_card,1165,0,,false
T000039,2025-01-07T19:19:00,S03,M001167,store,cash,160,0,,false
T000040,2025-01-07T18:26:00,S04,,store,cash,2000,0,,false
T000041,2025-01-07T21:36:00,S04,,store,cash,2195,0,,false
T000042,2025-01-07T18:08:00,S05,M000837,store,credit_card,1020,0,,false
T000043,2025-01-07T20:19:00,S05,,store,credit_card,2710,0,,false
T000044,2025-01-07T18:20:00,S05,,store,cash,3330,0,,false
T000045,2025/01/07 20:34,S05,,store,credit_card,1235,0,,false
T000046,2025-01-07T12:19:00,S05,,store,credit_card,1195,0,,false
T000047,2025-01-07T20:36:00,S05,,store,cash,1266,24,,false
T000048,2025-01-07T21:23:00,S05,,store,cash,1750,0,,false
T000049,2025-01-08T19:27:00,S01,M000154,store,cash,300,0,,false
T000050,2025-01-08T18:45:00,S01,,store,line_pay,1440,0,,false
T000051,2025-01-08T18:06:00,S01,,store,line_pay,2630,0,,false
