txn_id,sku,qty,unit_price,line_amount
T000001,P-H006,1,1080,1080
T000001,P-H002,1,420,420
T000001,P-F004,1,55,55
T000001,P-L012,1,460,460
T000001,P-L014,1,180,180
T000001,P-F001,1,65,65
T000002,P-P014,1,320,320
T000002,P-P011,1,320,320
T000002,P-F003,2,35,70
T000002,P-L022,1,160,160
T000002,P-P007,1,290,290
T000002,P-L008,1,450,450
T000003,P-F011,1,380,380
T000003,P-F006,1,320,320
T000003,P-P004,1,420,420
T000003,P-L014,3,180,540
T000003,P-L003,3,150,450
T000004,P-F008,1,240,240
T000004,P-F011,1,380,380
T000004,P-L014,2,180,360
T000004,P-L019,3,110,330
T000004,P-F002,1,180,180
T000005,P-P007,1,290,290
T000005,P-P019,3,120,360
T000005,P-F014,1,95,95
T000005,P-L019,1,110,110
T000006,P-G009,1,460,460
T000006,P-P001,1,260,260
T000006,P-P004,1,420,420
T000006,P-P008,1,460,460
T000006,P-L004,1,160,160
T000006,P-F019,3,140,420
T000007,P-L010,1,240,240
T000007,P-P026,1,280,280
T000007,P-F020,1,190,190
T000007,P-F012,1,130,130
T000008,P-H024,1,750,750
T000008,P-H017,1,640,640
T000008,P-P012,1,180,180
T000008,P-L018,2,130,260
T000008,P-P008,1,460,460
T000008,P-P012,2,180,360
T000009,P-L014,3,180,540
T000009,P-L001,1,260,260
T000009,P-F012,1,130,130
T000010,P-G002,2,480,960
T000010,P-G005,1,420,420
T000011,P-F006,1,320,320
T000011,P-F004,1,55,55
T000011,P-L018,2,130,260
T000011,P-L019,3,110,330
T000011,P-H010,1,520,520
T000012,P-F006,1,320,320
T000012,P-F011,1,380,380
T000012,P-F014,3,95,285
T000012,P-F016,1,110,110
T000012,P-F001,1,65,65
T000013,P-P016,1,280,280
T000013,P-P027,1,220,220
T000013,P-L014,2,180,360
T000013,P-L018,1,130,130
T000014,P-H001,1,680,680
T000014,P-F018,3,180,540
T000014,P-P021,1,240,240
T000014,P-F003,2,35,70
T000014,P-F010,1,75,75
T000014,P-P014,1,320,320
T000014,P-F019,2,140,280
T000014,P-L021,2,90,180
T000015,P-L021,1,90,90
T000016,P-L011,1,520,520
T000016,P-L021,1,90,90
T000016,P-F014,2,95,190
T000017,P-H001,1,680,680
T000017,P-F007,1,90,90
T000017,P-F011,1,380,380
T000017,P-L002,2,220,440
T000017,P-L012,1,460,460
T000017,P-L010,1,240,240
T000018,P-H004,1,560,560
T000018,P-H002,1,420,420
T000018,P-H003,1,890,890
T000018,P-H020,1,720,720
T000018,P-H009,1,780,780
T000018,P-P029,1,320,320
T000019,P-L024,1,420,420
T000019,P-L003,1,150,150
T000019,P-F015,1,260,260
T000019,P-L014,3,180,540
T000019,P-L009,1,280,280
T000019,P-L014,3,180,540
T000020,P-F015,1,260,260
T000020,P-L012,1,460,460
T000020,P-L003,1,150,150
